id,title,version,entered-date,description,summary,changes,keywords,author,maintained-by,primary-site,alternate-site,original-site,wiki-site,platforms,copying-policy,group,crc,md5,sha,versions,,,
bcc,bcc - Bruce's C compiler,0.16.10,2017-04-16,"Bruce'un C derleyicisi, küçük modeller için 8086 assembler üreten sade bir C derleyicisidir.",,,"K&R,C89,C,derleyici","Bruce Evans, Robert de Bath",,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/bcc.html,,,,DOS,"GNU General Public License, Version 2",devel,,a2364f84e91ddb69cd70e43f9923aebe,d0fb57da0ed806888270c3b46ae7d0d8d54da2bb0896b6d68dc0a66752243bf0,,,,
biew,Biew,6.10,2016-04-28,"Biew, bir ikili/onaltılı görüntüleyici/düzenleyicidir. (i686+ gerektirir)",,,"Biew, ikili, onaltılı, görüntüleyici, düzenleyici",,,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/biew.html,https://sourceforge.net/projects/beye/files/biew/6.1.0/,,,DOS,GNU General Public License,edit,,eaada08c290180b6e9cd9fbd025565dd,37c9334ac4bfbb6d484a432538bd0abd33dacdc2cb36d3b49035e13cce428b86,,,,
bladeenc,BladeEnc,0.94.1,2013-08-16,Blade'in MP3 Kodlayıcısı WAV/AIFF/RAW verilerinden MP3 oluşturur.,,,"mp3, kodlayıcı",Matt Craven,,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/bladeenc.html,,,,DOS,"GNU Lesser General Public License, Version 2.1",sound,,865fd93ccd918aeea0aad7cc2168550d,55e6fc852657742499fdb6a7dd91540a0e9b2dfee19556d9720e4ee8558de206,,,,
blocek,Blocek,1.4,2013-07-25,Unicode ve resim biçimleri destekli grafik metin düzenleyicisi,,,"düzenleyici, unicode",Laaca,,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/blocek.html,,,,DOS,GNU General Public License,edit,,e666d001ab7b64084d59741495a6fc88,bf05e6785010909e67949ea77fcebf60f5020e11a7c1500bb4faaca90785b1a8,,,,
bmp2png,bmp2png,1.62,2013-08-17,BMP resimleri PNG biçimine (ve tersine) değiştirmeye imkân sağlayan komut satırı aracı,,,"bmp,png",MIYASAKA Masaru,,,,,,DOS,Freeware (with sources),util,,7dfed3ebd128b58ffd7a738411a416d5,e6d7a9c33da6be71042987c6426319e254cc585a9183e593a9bef5c7ff0d31f5,,,,
bolitare,Bolitaire,0.62a,2015-12-04,DOS için bir Freecell klonu,,,,Yogesh,,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/bolitare.html,,,,,"GNU General Public License, Version 2",games,,644dea3f39242c03c078e617ce8ff9f1,7bcbb8a91b5cb075b5d89beafe0e2b9b22e08e5bb359af8dc828fe21fc5f739f,,,,
boom,Boom,2.02,2013-02-01,Doom kaynak kodunun GPL taşıması. Tam oyun deneyimi için FreeDoom ile paketlenmiştir.,,,"doom,boom,freedoom","Jim Flynn, Stan Gula, Ty Halderman, Lee Killough, Rand Phares",,,,,,DOS,"GNU General Public License, Version 2",games,,7edf58e172d7282c43183696344c0b58,2535cd8878ee776c4055e0b361f16a0447b69612596942b2b26ecb5b98cde827,,,,
bootfix,Bootfix,1.4,2009-02-15,"Bootfix, bir önyükleme sektörü sınama ve düzeltme aracıdır.",,,"Bootfix, başlatma, sektör, mbr, disk",Arkady,,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/bootfix.html,,,,DOS,"GNU General Public License, Version 2",util,,03e9ae69766978b56281522bc832c764,63139a5ac66c8ad9603643062e62e398a5f7561bb794db8c80854fb6bb2627a7,,,,
bsum,BSUM,1.1,2017-10-14,Dosyaların BSD sağlamalarını hesaplar,bsum BSD sağlama toplamını hesaplayan küçük bir araçtır (256 bayt!),,dos,Mateusz Viste,Mateusz Viste,http://bsum.sourceforge.net,http://sourceforge.net/projects/bsum/,http://bsum.sourceforge.net,,DOS,MIT License,util,,4815b31eb5649aac6abcde15a078920f,ea4e3048965b03be175eaf737323cf308c37ea44ecbe41f1e79f0940bf9d684e,,,,
btitanic,Beyond the Titanic,1,2013-12-10,Metin tabanlı Infocom tarzı bir macera oyunu.,,,,Scott Miller,,http://www.3drealms.com/downloads.html,http://en.wikipedia.org/wiki/List_of_minor_Apogee_Software_video_games#Beyond_the_Titanic,,,DOS,"GNU General Public License, Version 2",games,,bea1b19a31f2baf1321b677433add013,8d0098a28b8ddf2d7c9e44ea364ba774ac653414d4e133490fd66f9816cfb1ed,,,,
bwbasic,Bywater BASIC,3.20a,2017-07-10,Bywater BASIC yorumlayıcısı,"Bywater BASIC Yorumlayıcısı (bwBASIC), Minimal BASIC (X3.60-1978) için ANSI Standardının büyük bir üst kümesini ve Tam BASIC (X3.113-1987) için ANSI Standardının önemli bir alt kümesini ve birçok klasik BASIC lehçesini C dilinde uygular. (Kamu alanına bırakılmış CauseWay DOS Genişleticisi kullanarak)",Replaced DOS extender with CauseWay.,"basic, quickbasic, qbasic","Ted A. Campbell, Jon B. Volkoff and Howard Wulf",Howard Wulf,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/bwbasic.html,,https://bwbasic.sourceforge.io/,,DOS,"GNU General Public License, Version 2",devel,,eead52d06d11576529384822c82857c4,07a8bcd91f570c6d73fd35604fb1d7797eb945fbd4e416067bad60a04011cccf,,,,
bz2,BZIP2,1.0.5,2008-06-19,BZIP2 sıkıştırma programı,,,"bzip, bunzip, zip, unzip, paketleyici",Julian R. Seward jseward-at-bzip.org,BZIP2 project,http://www.bzip.org/,ftp://ftp.delorie.com/pub/djgpp/current/v2apps/,http://www.bzip.org/,,"DOS, FreeDOS, Linux, Windows","Open Source, see license.txt",archiver,,e81068ab60014017723667ef5e3c834d,298ede87baddf4e6a2261f69f4931167bcc02d5f7b68f7258d500149f2b22554,,,,
cabext,CABExtract,1.4,2012-09-25,"CABExtract, çeşitli Microsoft CAB biçimlerinden dosya çıkarabilir.",,,"cab, sıkıştırılmış, arşiv",Stuart Caie <kyzer -at- 4u.net>,,http://www.cabextract.org.uk/,,,,DOS,"GNU General Public License, Version 3",archiver,,fbeda22beadf5d45969202b012b31759,92a3f403c45e38ec650947458aae032e0083c8de3754d059f04509ee1fcf3dd2,,,,
callver,Callver,2007-08-19,2007-08-19,Bir program çalıştırırken DOS sürümünü belirler.,,,Dos FreeDOS setver dosver callver sürüm,Eric Auer,Eric Auer,http://www.auersoft.eu/soft/specials/,http://www.auersoft.eu/soft/specials/,http://www.auersoft.eu/soft/specials/,,DOS (nasm),Public Domain,util,,3e74c2500a1d645c04226de361d4953a,079d06c6ffb40b4618cbe878b5e2d0e20887a4330fd83b3ff7d65c2bfbeff509,,,,
cal,cal,1.07,2008-09-30,UNIX 'cal' gibi bir takvim programı,,,freedos,Charles Dye,Charles Dye,,http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/util/user/,,,dos,Freeware with source,util,,2efa22002b35af6d85fcacda139184e3,25b5c67f87aa5b5ffbc2b4a426cae9e87b192ac1db4b22d618f345d0dcbd65d4,,,,
cdp,CDP,A4,2016-07-17,Komut satırı ile DOS için ses CD'si çalıcı,,,"cdp, ses, cd-rom",Steffen.Kaiser _AT _ fh-rhein-sieg.de,Steffen.Kaiser _AT _ fh-rhein-sieg.de,,,http://www2.inf.fh-rhein-sieg.de/~skaise2a/ska/sources.html#cdp,,"DOS, FreeDOS",Freeware,sound,,b750ff21753a6a0d29d1f43b694e2d47,7ee2e0af1c607ce4266ce0ae54b548e2d7c07428690cd740a4cd0a2e40b71d4a,,,,
cdrcache,cdrcache,2004-05-13,2016-04-28,"CD-ROM önbelleği,  bir sürücü için okunanları önbelleğe alır, XMS, 386 veya daha iyisi",,,"arabellek, freedos, smartdrv, cd-rom",Eric Auer <eric (at) coli.uni-sb.de>,Eric Auer <eric (at) coli.uni-sb.de>,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/cdrcache.html,ftp://ftp.ibiblio.org/pub/micro/pc-stuff/freedos/files/util/system/,,,,"GNU General Public License, Version 2",util,,6c917a36a82d105715aea97a50089f80,2ddc611635e05f254fae9ba59edbcbdaf9a003724cb89a2886fe5306fa3214da,,,,
cdrom2ui,cdrom2ui,2003-11-16,2016-06-26,"Sürücü harfi ile seçilmiş herhangi bir CD-ROM'u çıkartmak, parçayı kapatmak, kilitlemek, kilidi açmak veya sıfırlamak için küçük bir araç.",,,"freedos, cd-rom",Eric Auer <eric (at) coli.uni-sb.de>,Eric Auer <eric (at) coli.uni-sb.de>,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/cdrom2ui.html,ftp://ftp.ibiblio.org/pub/micro/pc-stuff/freedos/files/util/system/,,,,"GNU General Public License, Version 2",util,,fcec89f2cd66e2fdb426c61548d8626a,07fef5b368213e066d25e1b758a03e09b7b83efb00f7ec4260b206d69d8e00e8,,,,
chkdsk,CHKDSK,beta 0.9.2,2013-06-13,Diskte hata olup olmadığını denetleyin.,,,Disk hatalarını denetle,Imre Leber <imre.leber -AT- telenet.be>,Imre Leber <imre.leber -AT- telenet.be>,http://users.telenet.be/imre/FreeDOS/,http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/dos/chkdsk/,http://users.telenet.be/imre/FreeDOS/,http://wiki.freedos.org/wiki/index.php/Chkdsk,"DOS, FreeDOS","GNU General Public License, Version 2",base,,514b12786cbf5d4f5e86301b64a5b10a,d565f42cb47ff84b5ab4ed5974412333e825adfa984d2d9b05b86b4cc6dca8c8,,,,
choice,choice,4.4,2003-07-15,Kullanıcıya bir seçim sun ve bir tuşa basılmasını bekle  (cats yerine kitten kullanır),,,freedos,Jim Hall <jhall@freedos.org>,Tom Ehlert <te@drivesnapshot.de>,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/choice.html,http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/dos/choice/,http://www.isd.net/jhall1/freedos/utils.html,http://wiki.freedos.org/wiki/index.php/Choice,DOS **requires KITTEN,"GNU General Public License, Version 2",base,,859f77996e6a8957202d211fd4eea268,8e42bf05e8b5b63475671633739cf44a0bb5ea6de4dc64bdc0c5df52287d42e1,,,,
clamav,Clam Anti-Virus (ClamAV),0.95.3/9047/Wed Feb 25 21:59:41 2009,2010-02-22,"ClamAV, dosya ve dizinleri virüs olup olmadığına bakmak için tarar",,,"clamav, av, anti-virüs, virüs",ClamAV Team (www.clamav.net),"ClamAV Team (www.clamav.net), DOS port by Blairdude@gmail.com",www.ibiblio.org/pub/micro/pc-stuff/freedos/files/util/system/,www.clamav.net,www.clamav.net,,"Unix, Windows, BeOS, DOS","GNU General Public License, Version 2",util,,066047f9c721a7ef19f4593ac2ea8be6,6584cabb8c9a02a21fe79a86d93a2dc08d8a9b2d2560301bc18266e55156a9c6,,,,
clamdb,Clam Anti-Virus Database,51,2010-02-22,ClamAV için virüs veritabanı,,,"clamav, av, anti-virüs, virüs, db, veritabanı",ClamAV Team (www.clamav.net),ClamAV Team (www.clamav.net),www.clamav.net,www.clamav.net,www.clamav.net,,Platform-independent,"GNU General Public License, Version 2",util,,f34063bf609ac4456dc323eca2fdd848,36ef506a2418bd4199abf2e8360bc6804f532f088d9fd6264181b3d0777bf81d,,,,
command,FreeCom,0.84 pre 2,2006-07-06,FreeDOS Komut Kabuğu,,,freecom freedos komut kabuğu,fd-freecom@topica.com (developers),freecom@freedos.org (maintainers),http://freedos.sourceforge.net/,http://www.freedos.org/,,http://wiki.freedos.org/wiki/index.php/Command,dos dosemu,"GNU General Public License, Version 2",base,,d71015724b86d7368c9cae37266f312e,a3bbb02facd48ea2b3e5f927420d9d8865d89cf575e6b5720277cf5835f84a4e,,,,
comp,COMP,1.04,2006-10-21,Dosyaları mukayese et ve farklılıklarını görüntüle,,,"karşılaştır, comp, dosya karşılaştır",Paul Vojta <vojta -at- math.berkeley.edu>,Paul Vojta <vojta -at- math.berkeley.edu>,http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/comp.html,http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/dos/comp/,http://math.berkeley.edu/~vojta/,http://wiki.freedos.org/wiki/index.php/Comp,"DOS, FreeDOS","Free, see COMP.ASM",base,,dddf4d87465714061ff7bd6e556e7fb6,f70c6cc080860ac5dff2851ceb9bcf2219f6625ae2339993ad00e361eb98d25b,,,,
cpidos,CPI (Code Page Information) Package,3.0,2013-06-13,"DISPLAY türü, UPX ile sıkıştırılmış, çeşitli DOS kod sayfası ile CPI dosyaları paketi.",,,"display, kod sayfası, code page, cp, dos kod sayfası, dos cp, karakter seti",hperon@terra.com.br (Henrique Peron),hperon@terra.com.br (Henrique Peron),http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/dos/cpi/,,,,FreeDOS,"GNU General Public License, Version 2",base,,74d3fca42628c2fc88ccff2c3021b01c,e1404044d85fa1e9c30dfd1853909ac84b6a87e6c89f788413cd13b2bb1d133d,,,,
cpied,cpied,1.3c,2013-08-05,Grafik arayüzlü CPI yazıtipi düzenleyicisi,,,"cpi,cpx,yazıtipi,düzenleyici",Balthasar Szczepanski,,http://baltixy.w.interia.pl/cpied/index.htm,,,,DOS,"GNU General Public License, Version 3",util,,59f509ad8f746b95b349a2a48209a032,b76413376ff5f52754a856e073a3d86fec002c0cd506eeffa26c63e4c9f39eba,,,,
cpp2ccmt,cpp2ccmt,0.5,2013-07-18,C++'dan C'ye yorum dönüştürücüsü.,,,yorumlar,Thomas Weidenmueller,Mateusz Viste,http://sourceforge.net/projects/cpptoccmt/,,,,DOS,"GNU Lesser General Public License, Version 2.1",devel,,140ea3473533d3e0d78562e49b392131,89225d319353e73b986f6400a58bbe82bf51a66a279d190ac25e75f631dfe5e0,,,,
crynwr,Crynwr,2006-09-02,2013-07-25,Crynwr şirketinden özgür paket sürücüleri koleksiyonu,,,paket,Crynwr,,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/crynwr.html,,,,DOS,Open source,net,,7ff42c112df59cc6cbd2d37505c8ce80,60a1fdde3aa6b7980f2afb3555931567fcd4234e24607e91a3f04d3b05fea386,,,,
ctmouse,CTMouse,2.1b4,2008-07-22,FreeDOS fare sürücüsü,,,"Fare, fareler, tekerlek",Nagy Daniel,Eric Auer,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/ctmouse.html,http://www.freedos.org,,http://wiki.freedos.org/wiki/index.php/Mouse,FreeDOS,"GNU General Public License, Version 2",base,,87e6786b8d00705c4731ba3d5e7369ea,d6b7db9a8ea5ed62ab3dc7ece379f13984f7d8d122bb28c2afe0d5fedc34203e,,,,
curl,cURL,7.21.6,2016-05-19,"Curl, URL sözdizimi ile belirtilen verileri aktarmak için bir komut satırı aracıdır.",,,"freedos, curl",,Doug Kaufman,https://curl.haxx.se,,,,FreeDOS,Open source,net,,e371e9039c31e965cdfb0a40e555ee43,0b6a186b67c256ff378ed39aff811d970df58e3947cdc91f776b94ad11936d81,,,,
cwsdpmi,CWSDPMI,7,2013-07-13,DJGPP için tasarlanmış 32-bit DPMI DOS genişleticisi.,,,"genişletici, DPMI, DJGPP",Charles W Sandmann (sandmann@clio.rice.edu),,,,,,"DOS, FreeDOS","GNU General Public License, Version 2",util,,8adb1f51fafb4417c130543ddfd5d4e6,fdf2ffd9372401482a514d033690cb1585105710d23be35c6769e3dffdf0534f,,,,
daa2iso,DAA2ISO,0.1.7e,2013-02-01,Tek ve çok parçalı DAA ve GBI kalıplarını özgün ISO biçimine dönüştürmek için bir araç.,,,"daa2iso,poweriso",Luigi Auriemma,,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/daa2iso.html,,,,DOS,"GNU General Public License, Version 2",util,,67b3b6fdec9cad9c7f8a4d8c9a85545a,c75c77cd36d13d5dd784c559599c9afa79e8026a791e4eef7fde424ba91b3309,,,,
debug,DEBUG,1.25,2013-06-13,Bir program deneme ve düzenleme aracı,,,"debug, hata ayıklayıcı, DPMI hata ayıklayıcı, 32bit hata ayıklayıcı, çekirdek hata ayıklayıcısı",Paul Vojta <vojta@math.berkeley.edu>,Japheth <mail -at- japheth.de>,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/debug.html,http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/dos/debug/,http://math.berkeley.edu/~vojta/,http://wiki.freedos.org/wiki/index.php/Debug,"DOS (assemble with NASM), FreeDOS",MIT License,base,,8ffffd07dab9980f1680cea83bae5103,b680d86cb6cd92e051c42ef942bff0818c1058d8825e9d27731f0386b72d646e,,,,
defrag,Defrag,1.3.2,2013-06-13,Birleştirme (defragmentation) programı.,,,defragmenter,Imre Leber <imre.leber -AT- telenet.be>,Imre Leber <imre.leber -AT- telenet.be>,http://users.telenet.be/imre/FreeDOS/,http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/dos/defrag/ http://users.pandora.be/imre/FreeDOS/,http://users.telenet.be/imre/FreeDOS/,http://wiki.freedos.org/wiki/index.php/Defrag,FreeDOS,"GNU General Public License, version 2",base,,4cff3a834ae26e3fd7d680667c9196e3,6e1d46eaed56012a97e9f6f07fad4aab9edf2e95d7bbf15f23d5b7c045d6cecf,,,,
deltree,DELTREE,1.02g.mrlg,2013-03-30,Dosya ve dizinleri içerdikleri tüm dosyalar ve alt dizinler ile sil!,,,"freedos, sil, ağaç","Charles Dye, cdye -at- unm.edu","MR-LEGO, MR-LEGO.SW -at- web.de",http://www.freedos.org/software/?prog=deltree,http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/dos/deltree/,http://www.unm.edu/~cdye/,http://wiki.freedos.org/wiki/index.php/Deltree,"DOS, FreeDOS","GNU General Public License, Version 2",base,,74e0f1784d4d492602b6e5faf15663eb,4328bdb74bc0c2048076deb500055b2965c852125b1dac04a6903fc5cf0b0165,,,,
devload,devload,3.25,2011-08-05,"Komut satırı cihaz sürücü yükleyici program, UMB'leri destekler",,,"Komut satırı, cihaz, sürücü, yükle, ctload, devload",David Woodhouse <Dave _AT_ infradead.org>,Eric Auer <e.auer _AT_ jpberlin.de>,http://www.auersoft.eu/soft/,,http://www.infradead.org/devload,,"DOS, NASM, FreeDOS","GNU General Public License, Version 2",base,,abf83eb32fadab3288bdac9aea6a057b,356cc7e0701294d41906b34bd24fdee8908b19c0053943938ef28830cdae281b,,,,
dialog,Dialog,1.1-20080819,2009-02-13,Kabuk betiklerinde diyalog kutuları görüntüle,,,"diyalog, curses","Thomas E. Dickey, Savio Lam",,www.ibiblio.org/pub/micro/pc-stuff/freedos/files/util/menu/,www.ibiblio.org/pub/micro/pc-stuff/freedos/files/util/menu/,www.ibiblio.org/pub/micro/pc-stuff/freedos/files/util/menu/,,"DOS, Unix, Windows, Curses, GTK","GNU Lesser General Pubic License, Version 2.1",util,,82aa527b121e669dbb22d36d547264d6,960daaa1520f74dc26f56251b7360118063361dcde049d7d6bbc1b214ad3f46b,,,,
dillo,Dillo,3.0p9,2012-09-25,Hızı ve az hafıza kullanımı ile bilinen grafik İnternet tarayıcısı.,,,"dillo, web, www, tarayıcı",Dillo developers,,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/dillo.html,,,,DOS,"GNU General Public License, Version 3",net,,6c6d4a610a51cb9aa8d7a98a75847f34,f174f9e06f872f8d6ed2e381c605b333ed344a415dd875a779aabdcc29e639dd,,,,
diskcomp,DISKCOMP,06jun2003,2003-06-06,Disk karşılaştırma programı,,,"diskcomp, karşılaştır, disk",Michal Meller <maceman -at- priv4.onet.pl>,Steve Nickolas <steve -at- dosius.zzn.com> Eric Auer <e.auer -at- jpberlin.de>,http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/dos/diskcomp/,http://www.auersoft.eu/soft/by-others/,,http://wiki.freedos.org/wiki/index.php/Diskcomp,"DOS, FreeDOS","GNU General Public License, Version 2",base,,127e1c69ceeaee9291d9cd16623da28e,e1c032e84f8f5437533b7d61d966eded91f4e269f6c8209d093d5975710acfc5,,,,
diskcopy,DiskCopy,beta 0.95,2008-07-23,Bir diski ya da kalıp dosyasını başka bir diske kopyala,,,"Freedos, disk, diskcopy, kopyala",'Imre Leber' <imre.leber@worldonline.be>,'Imre Leber' <imre.leber@worldonline.be>,http://users.pandora.be/imre/FreeDOS/,,http://users.pandora.be/imre/FreeDOS/,http://wiki.freedos.org/wiki/index.php/Diskcopy,"DOS, FreeDOS","GNU General Public License, Version 2",base,,5dbf40ce1462a0c090c704e898f0ea00,b6c5163c1fbc2438060b2a31f7e71dcb0060663befa627ed02f7de5260807dd4,,,,
display,DISPLAY,0.13c,2018-01-02,Kod sayfası yönetimi için FreeDOS sürücüsü (ekran veya yazıcı),,,"ekran, ega, vga, nls, cpi, cpx",Aitor Santamaria Merino,Aitor Santamaria Merino,http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/dos/display/,http://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/dos/chcp/,www.freedos.org,,"DOS, FreeDOS","GNU General Public License, Version 2",base,,8cf635da808a5438617a77a34d5810fb,0343e67efe35a954af07132ffe83429d4cb67ed5be12916d459650b7e9d01bf8,,,,
djgpp_bn,DJGPP binutils,2.21.1,2012-09-24,"DJGPP binutils: bağlayıcı, assembler, vs...",,,"gcc, make, derleyici, c, djgpp",,,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/djgpp_bn.html,,,,DOS,GNU General Public License,devel,,d1d94cdc5ef762c5794eb7e8baf4ccd6,dbf398dd0a57c0aedbd77941a6a6415c3eaa0c5d2e3d212df710323ef46288bc,,,,
djgpp_bs,DJGPP Bison,2.4.1,2012-09-24,DJGPP Bison (YACC ile uyumlu bir ayrıştırıcı oluşturucu),,,"bison, djgpp",,,http://ibiblio.org/pub/micro/pc-stuff/freedos/files/distributions/1.2/repos/pkg-html/djgpp_bs.html,,,,DOS,GNU General Public License,devel,,b39d5e5aba79c0fda1d0e1dea3875377,0c408c8f27010b768c8ea894b757e40c767d0721725bf71476d8e09ba19f7b24,,,,
